model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7_context/cnn_lstm_core,sequences_window30_h7.npz,context,30,7,18,0.6294248104095459,1.186389353518905,0.4941256046295166,1.6392240524291992,23.601463317871094,218.51181675712644,0.01314312219619751,1.7542237043380737
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7_context/transformer_core,sequences_window30_h7.npz,context,30,7,18,0.7044667601585388,1.3108099546892054,0.38245630264282227,1.6387860774993896,26.77846908569336,220.9226214933636,-0.008752703666687012,1.7522882223129272
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7_context/lstm_core,sequences_window30_h7.npz,context,30,7,18,0.7549065947532654,1.342789950182559,0.35195618867874146,1.650549292564392,24.996112823486328,218.83619730291423,0.010210990905761719,1.7692569494247437
