model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train/lstm_core,sequences_window30_h1.npz,core,30,1,14,0.9629618525505066,1.4967743841771566,0.19063347578048706,1.7274718284606934,27.50664710998535,218.69612729481517,-0.012470841407775879,1.8644858598709106
Transformer,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train/transformer_core,sequences_window30_h1.npz,core,30,1,14,0.9432225227355957,1.513763070589521,0.1721562147140503,1.7124487161636353,27.604633331298828,218.42087740758666,-0.009923815727233887,1.8507145643234253
CNN-LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train/cnn_lstm_core,sequences_window30_h1.npz,core,30,1,14,0.9890533685684204,1.576704537956369,0.10188239812850952,1.7074782848358154,29.1324405670166,218.38155578310636,-0.009560227394104004,1.8441523313522339
