model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_context/cnn_lstm_core,sequences_window60_h7.npz,context,60,7,18,0.7338284254074097,1.3059608960891411,0.40702569484710693,1.6091653108596802,28.522146224975586,234.91633317789973,-0.001840353012084961,1.7308272123336792
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_context/lstm_core,sequences_window60_h7.npz,context,60,7,18,0.7688866853713989,1.4197094534088264,0.2992316484451294,1.668935775756836,27.26942253112793,233.98874839402,0.006055653095245361,1.7820358276367188
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_context/transformer_core,sequences_window60_h7.npz,context,60,7,18,0.8521111011505127,1.4847472677724363,0.23355567455291748,1.6211684942245483,29.951841354370117,235.00642444675847,-0.0026088953018188477,1.7373310327529907
