model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w90_h14/cnn_lstm_core,sequences_window90_h14.npz,core,90,14,14,1.0147329568862915,1.5609151050079932,0.19819939136505127,1.6654815673828125,33.009925842285156,258.62954623843734,-0.008537530899047852,1.8165562152862549
LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w90_h14/lstm_core,sequences_window90_h14.npz,core,90,14,14,1.0608597993850708,1.59466264810396,0.16315412521362305,1.6941425800323486,33.80560302734375,259.3130046391812,-0.013875007629394531,1.8486047983169556
Transformer,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w90_h14/transformer_core,sequences_window90_h14.npz,core,90,14,14,1.0645451545715332,1.680432673323741,0.07071256637573242,1.6582863330841064,33.52045440673828,258.2940729575497,-0.005922794342041016,1.793054223060608
