station_id
Chum Phae Rice research Center
Khon Kaen Rice research Center
Nakhon Ratchasima Rice research Center
Nong Khai Rice research Center
Roi Et Rice Seed Center
Sakon Nakhon Rice research Center
Surin Rice research Center
Ubon Ratchathani Rice research Center
Udon Thani Rice research Center
