province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,834,100,0,0,0,0,0,0,0,0,0,713
อ่างทอง,Ang Thong,14.61094444,100.3843056,81923,22671,11205,12379,0,0,0,0,0,0,45186,98196
กรุงเทพ,Bangkok,13.75785621,100.5558824,8315,6014,3425,1654,0,0,0,0,0,0,51496,30958
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3217,309,0,0,0,0,0,0,0,0,797,5634
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,12438,7113,0,0,0,0,0,0,0,0,1199,9482
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,29054,12176,8493,3455,0,0,0,0,0,0,294658,44238
ชัยนาท,Chai Nat,15.15194231,100.0815577,144834,23317,14988,48734,0,0,0,0,0,0,108308,186527
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,32729,3263,270,0,0,0,0,0,0,0,1202,20323
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,72310,37807,3616,1648,0,0,0,0,0,0,733,12089
เชียงราย,Chiang Rai,19.88303252,99.92217886,250732,109740,19093,944,0,0,0,0,0,0,795,27359
ชลบุรี,Chon Buri,13.15463158,101.0628947,3590,2828,1192,906,0,0,0,0,0,0,22149,9021
ชุมพร,Chumphon,10.3336087,99.18683478,57,636,0,0,0,0,0,0,0,0,0,32
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,207913,24044,1035,0,0,0,0,0,0,0,514,47110
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,272223,36835,9924,1487,0,0,0,0,0,0,101686,186606
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,2324,19171,154293,6460,0,0,0,0,0,0,768,1518
ขอนแก่น,Khon Kaen,16.35285,102.598805,83105,37001,1937,460,0,0,0,0,0,0,507,24096
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,24285,9590,0,0,0,0,0,0,0,0,120,6731
ลำพูน,Lamphun,18.36132,98.96236,8595,4959,1284,0,0,0,0,0,0,0,0,2893
เลย,Loei,17.41748315,101.6434157,122,0,0,0,0,0,0,0,0,0,36,794
ลพบุรี,Lop Buri,15.02860833,100.7969417,124116,36399,17243,8454,0,0,0,0,0,0,39856,121880
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,50,12,0,0,0,0,0,0,0,0,0,29
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,133227,18638,4885,0,0,0,0,0,0,0,0,14657
มุกดาหาร,Mukdahan,16.53405769,104.5682885,277,23,0,0,0,0,0,0,0,0,0,193
นครนายก,Nakhon Nayok,14.18082927,101.1229756,26972,9633,3031,9661,0,0,0,0,0,0,71732,40468
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,59363,30287,29649,21334,0,0,0,0,0,0,47456,103761
นครพนม,Nakhon Phanom,17.31057447,104.4821915,13201,235,0,0,0,0,0,0,0,0,9993,39284
