province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
ระยอง,Rayong,12.77290909,101.4139394,632,0,0,2207,637,0,6386,0,0,0,542,897
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,12034,718026,23576,2309169,0,4494,7866,0,0,0,0,0
สระแก้ว,Sa kaeo,13.72012069,102.3403103,17132,15586,0,611354,0,49680,21638,0,0,0,2578,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,38692,1515686,147562,362824,0,27121,29090,0,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,0,0,18210,0,0,0,2113,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,0,650,4572,0,0,0,0,0
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,1164,0,0,0,0,876
สระบุรี,Saraburi,14.55531481,100.8865463,4025,0,0,9632,0,2034,233209,2236,0,0,25399,47516
สตูล,Satun,6.695068182,99.72796591,17087,0,0,0,0,0,1067,0,0,0,1900,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,56052,173542,189874,2517583,0,55716,7983,0,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,11822,2016,0,562,0,0,246518,0,0,0,55453,8637
สงขลา,Songkhla,7.117804348,100.5218768,55508,0,0,0,0,8964,105498,9086,0,0,31048,0
สุโขทัย,Sukhothai,17.1496,99.79715294,38562,10377,0,70537,59265,1097,814026,5246,0,3668,21515,10455
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,6618,0,0,78888,0,0,1034929,0,0,0,97602,20372
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,239,0,0,786,0,620,4302,0,0,0,4146,0
สุรินทร์,Surin,14.93708228,103.669962,21455,7768,709562,2265875,0,2769,2538,0,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,76054,23746,0,105917,0,3205,50645,9240,0,0,4467,4760
ตรัง,Trang,7.479578947,99.55433333,6809,0,0,0,0,0,3262,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,0,0,0,11447,0,413,1900,312,0,0,1276,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,45866,988342,456382,2299278,0,88291,20269,0,0,0,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,20637,1360550,61536,264655,0,26056,1018,0,0,0,0,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,4058,1254,0,13574,10207,0,397889,10233,0,0,45018,9632
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,10247,51236,0,48979,1053,24478,312955,0,0,0,95573,24204
ยะลา,Yala,6.389631579,101.2610877,19035,0,0,0,0,1034,1856,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,16305,440362,34325,817785,0,13393,3527,0,0,0,0,0
