province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,152,140,0,394,0,38,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,131773,0,7405,3333,0,0,68660,0
กรุงเทพ,Bangkok,13.75785621,100.5558824,0,66361,328,6825,9846,0,0,17542,798
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,4752,1220,0,2714,0,404,0,204,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,236,1317,0,2458,0,3171,0,933,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,297252,12283,17952,51048,0,0,26334,10781
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,382414,0,2052,543,1419,0,98960,1021
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,20133,3332,3659,8387,209,10719,130,832,7979
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,1687,4780,0,122946,712,0,0,0,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,18657,28276,0,223777,90815,0,0,19414,14589
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,22502,2593,7452,3721,459,83,2281,1547
ชุมพร,Chumphon,10.3336087,99.18683478,0,16,0,279,0,108,0,348,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,67521,51072,0,77889,51828,20288,0,295,90
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,910,413982,2504,60648,71736,4902,0,4144,40613
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,6627,0,1050,93,347,0,13730,15515
ขอนแก่น,Khon Kaen,16.35285,102.598805,56735,5947,102,20719,36604,17193,138,1651,823
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,2677,12957,0,28306,344,0,0,106,162
ลำพูน,Lamphun,18.36132,98.96236,408,772,0,16030,0,0,0,0,0
เลย,Loei,17.41748315,101.6434157,15,87,0,44,0,0,0,4,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,123508,0,2392,0,1329,0,84624,8033
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,195,0,259,0,0,0,22,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,25833,34894,296,2403,34914,51626,0,119,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,88,0,0,91,0,32,0,31,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,123709,1009,19065,5822,848,0,1215,701
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,159014,340,59669,10730,0,847,4882,10219
นครพนม,Nakhon Phanom,17.31057447,104.4821915,40711,3275,0,19159,0,2989,0,762,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,0,11663,1477,1067,730,7295,0,1074,1207
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,633711,6252,15013,12260,3551,0,11647,17349
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,92487,1209,5522,5578,1596,0,12405,1757
น่าน,Nan,18.8794898,100.8094286,885,86,0,9195,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,112,0,330,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,6918,4516,0,2295,372,2669,0,571,0
หนองคาย,Nong Khai,17.91401639,102.8044262,52013,3173,0,41876,0,2151,0,146,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,84608,0,2909,2201,0,0,678,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,214893,0,12728,3473,0,0,22872,4120
ปัตตานี,Pattani,6.756087719,101.3607456,0,8637,0,0,0,5549,337,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,26499,287,14618,1467,3471,0,10699,251
พะเยา,Phayao,19.28419403,100.0843134,1935,10981,0,38312,7380,0,0,0,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,1923,9939,232,18738,3678,1115,0,1044,3693
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,10740,87,1651,629,1805,153,265,1983
พิจิตร,Phichit,16.25902273,100.3543182,0,512816,0,90556,73232,3789,590,958,15736
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,4889,371420,836,202435,81316,7456,0,7284,38598
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,528349,0,6702,33858,3409,0,45166,42387
แพร่,Phrae,18.15474026,100.0967013,4032,9032,0,15146,11,0,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,0,71942,671,16662,544,2568,0,966,44916
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,0,391,82,167,25,417,60,289,48
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,0,5531,129,874,823,409,40,1045,4550
ระยอง,Rayong,12.77290909,101.4139394,0,2085,741,326,0,394,0,0,63
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,19900,58975,784,1699,25769,86658,566,4450,3035
สระแก้ว,Sa kaeo,13.72012069,102.3403103,0,2938,0,496,47,3432,0,1925,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,18009,3285,0,26776,0,1131,0,1865,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,10783,2835,331,552,0,0,5064,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,1891,0,528,1380,0,0,146,189
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,881,0,243,0,45,0,0,67
สระบุรี,Saraburi,14.55531481,100.8865463,0,72841,0,465,588,550,0,13946,37118
สตูล,Satun,6.695068182,99.72796591,0,62,0,60,0,0,0,167,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,4126,2727,206,12315,33,51841,38,4817,49
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,139442,574,12841,987,0,0,33766,742
สงขลา,Songkhla,7.117804348,100.5218768,0,50231,356,2743,2144,329,0,3310,620
สุโขทัย,Sukhothai,17.1496,99.79715294,67,273994,18512,105085,119179,3470,505,1364,37680
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,1156,713998,957,19785,14105,107,185,55359,11818
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,963,0,573,419,112,0,1695,37
สุรินทร์,Surin,14.93708228,103.669962,2814,3883,202,6391,14,5836,0,1379,0
ตาก,Tak,16.84066102,98.83098305,0,2566,127,1685,1243,3209,0,175,725
ตรัง,Trang,7.479578947,99.55433333,0,182,0,71,0,0,0,95,0
ตราด,Trat,12.10803774,102.4909057,0,381,0,1017,0,0,0,507,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,29318,76761,0,29651,44,5691,0,522,270
อุดรธานี,Udon Thani,17.40975974,102.883539,26131,11916,0,1719,606,2267,0,121,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,142348,403,31205,9068,999,353,16470,1174
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,743,102665,6034,52342,86098,1909,29,47130,19359
ยะลา,Yala,6.389631579,101.2610877,0,223,0,0,0,107,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,6198,12356,980,6459,307,11105,0,289,593
