province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,1213,824,510,462,0,0,0,0,0,0,13110,3446
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,974,388,272,109,0,0,0,0,0,0,1219,1172
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,221,1015,0,0,0,0,0,0,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,43424,9820,4859,3880,0,0,0,0,0,0,23070,40455
สตูล,Satun,6.695068182,99.72796591,0,36,133,120,0,0,0,0,0,0,0,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,45774,5188,776,0,0,0,0,0,0,0,657,23757
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,48901,7210,8704,9876,0,0,0,0,0,0,39388,74273
สงขลา,Songkhla,7.117804348,100.5218768,0,0,2321,11331,16698,29383,0,0,0,0,0,0
สุโขทัย,Sukhothai,17.1496,99.79715294,115281,16295,19842,10952,0,0,0,0,0,0,204099,193387
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,184727,47243,53097,68435,0,0,0,0,0,0,203416,260552
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,2054,639,0,0,0,0,0,0,0,0,419,687
สุรินทร์,Surin,14.93708228,103.669962,6516,288,144,0,0,0,0,0,0,0,955,12616
ตาก,Tak,16.84066102,98.83098305,3621,923,233,173,0,0,0,0,0,0,0,4780
ตรัง,Trang,7.479578947,99.55433333,0,20,315,13,0,0,0,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,1680,37,0,0,0,0,0,0,0,0,0,188
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,49568,23858,6341,0,0,0,0,0,0,0,1441,61049
อุดรธานี,Udon Thani,17.40975974,102.883539,9726,2490,840,0,0,0,0,0,0,0,3311,26393
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,23935,13153,2926,0,0,0,0,0,0,0,78788,83218
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,109684,8866,3150,1742,0,0,0,0,0,0,37996,154871
ยะลา,Yala,6.389631579,101.2610877,0,0,0,92,170,68,0,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,26143,3874,806,0,0,0,0,0,0,0,305,7159
