province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,0,0,0,0,597337,844300,612325,67013,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,11294,5333,2262,1084,350,0,0,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,628,1352,619,1581,717,325,0,0
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,178,1447,415,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,0,0,0,0,52912,57306,112684,58323,28927,13899,0,0
สตูล,Satun,6.695068182,99.72796591,0,0,0,0,0,0,642,3385,10354,5673,0,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,0,0,0,0,1829622,860925,273701,36502,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,0,0,0,153356,75622,22546,21263,35598,16623,0,0
สงขลา,Songkhla,7.117804348,100.5218768,83112,4854,0,0,0,0,448,4107,29485,51280,22920,13898
สุโขทัย,Sukhothai,17.1496,99.79715294,0,0,0,0,344479,253136,206425,108222,110408,12078,0,0
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,0,0,0,534743,225741,155489,112913,120070,89453,0,0
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,0,0,0,225,5157,2573,1097,740,301,0,0
สุรินทร์,Surin,14.93708228,103.669962,0,0,0,0,1668835,1090872,237315,12945,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,0,0,0,0,8351,55095,152650,60425,1513,0,0,0
ตรัง,Trang,7.479578947,99.55433333,0,0,0,0,0,0,440,2891,4653,2087,0,0
ตราด,Trat,12.10803774,102.4909057,0,0,0,0,1763,6500,3788,3297,0,0,0,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,0,0,0,0,2212871,1216657,402576,64485,1839,0,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,0,0,0,0,330643,449752,871362,82695,0,0,0,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,0,0,0,121776,100407,90197,36198,85356,57931,0,0
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,0,0,0,0,38382,76174,291924,131839,27968,2438,0,0
ยะลา,Yala,6.389631579,101.2610877,2746,0,0,0,0,0,0,0,0,770,12601,5808
ยโสธร,Yasothon,15.83362821,104.3002051,0,0,0,0,523581,451398,329403,21315,0,0,0,0
