province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,1504,12068,41,13522,289,45449,0,4296,116
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,31030,72,1807,1554,111,0,16298,4243
สงขลา,Songkhla,7.117804348,100.5218768,0,63680,1740,1429,4966,13491,183,4731,2683
สุโขทัย,Sukhothai,17.1496,99.79715294,0,106787,30440,99366,156058,19799,226,4085,57959
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,465302,7676,13420,43074,2735,245,27239,39497
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,199,421,148,171,207,0,2683,79
สุรินทร์,Surin,14.93708228,103.669962,1765,13096,0,14614,83,5714,0,11189,551
ตาก,Tak,16.84066102,98.83098305,0,1602,598,2514,1421,1820,0,56,1283
ตรัง,Trang,7.479578947,99.55433333,0,210,0,85,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,0,413,51,772,0,283,0,337,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,22729,73410,160,20252,91,20014,343,1326,758
อุดรธานี,Udon Thani,17.40975974,102.883539,22745,13008,0,6987,907,4134,0,1462,30
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,70144,1019,6397,4521,7415,0,8647,3135
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,62,38617,8199,29899,83848,1395,1053,10524,20033
ยะลา,Yala,6.389631579,101.2610877,0,105,0,0,0,85,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,4694,3965,919,1377,0,31713,116,2840,762
