province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,0,0,0,0,415510,375454,164425,29007,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,0,0,0,145057,69348,39616,39335,45163,22570,0,0
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,34644,13462,10658,7830,5456,9092,0,0
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,0,0,0,0,179840,230283,70478,4123,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,0,0,0,0,1349198,1255179,133961,30352,544,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,0,0,0,230897,116364,63361,62332,85201,74114,0,0
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,0,0,0,338255,148597,60669,136209,140361,24637,0,0
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,0,0,0,0,348401,827683,354765,31076,10519,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,4185,4613,3432,1908,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,0,0,0,0,18208,102502,239626,96698,5304,0,0,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,0,0,0,0,131940,355672,599044,144606,17984,0,0,0
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,0,0,0,23165,4428,16534,16195,3149,3882,0,0
ชุมพร,Chumphon,10.3336087,99.18683478,0,0,0,0,0,0,4,1763,1252,56,0,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,0,0,0,0,431519,686357,282869,69291,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,0,0,0,401905,299497,190283,135971,104229,35033,0,0
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,0,0,0,554,7449,81179,284117,576,3380,0,0
ขอนแก่น,Khon Kaen,16.35285,102.598805,0,0,0,0,388492,1284200,540732,100803,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,226,1425,1607,826,442,0,0
ลำปาง,Lampang,18.34986458,99.50325,0,0,0,0,3797,26517,279334,121400,3676,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,0,0,0,0,2066,34078,61475,9002,0,0,0,0
เลย,Loei,17.41748315,101.6434157,0,0,0,0,17748,125697,272346,20701,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,0,0,0,100668,307274,218837,92774,25625,4219,0,0
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,0,0,0,26101,55675,77229,23470,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,0,0,0,0,430247,1100633,491388,39909,0,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,0,0,0,0,82735,136657,251141,17888,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,0,0,0,200930,66753,23362,38665,18518,23707,0,0
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,0,0,0,119162,79348,14279,30770,8182,25458,0,0
นครพนม,Nakhon Phanom,17.31057447,104.4821915,0,0,0,0,291202,503862,507202,65926,0,0,0,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,0,0,0,0,955164,1480683,846658,141016,4887,32981,0,0
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,0,0,0,1188034,583547,124228,182159,215852,106001,0,0
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,44559,22967,0,0,0,52319,14719,5377,25657,48997,25958,11522
น่าน,Nan,18.8794898,100.8094286,0,0,0,0,20580,76065,139493,40163,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,2817,0,0,0,0,0,0,0,0,9034,21055,9050
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,0,0,0,0,101650,217617,277191,59676,0,0,0,0
หนองคาย,Nong Khai,17.91401639,102.8044262,0,0,0,0,234021,145111,120588,34887,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,0,0,0,43294,21293,5706,7425,5858,1963,0,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,0,0,0,103392,57242,44223,4145,30686,60106,0,0
ปัตตานี,Pattani,6.756087719,101.3607456,0,0,0,0,0,0,0,0,0,49283,18215,8552
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,89,590,2051,404,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,17773,6913,0,0,0,0,0,15102,43421,31830,19703,1650
พะเยา,Phayao,19.28419403,100.0843134,0,0,0,0,54963,231422,266207,67819,0,0,0,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,0,0,0,0,550741,120938,186203,113238,74165,20173,0,0
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,0,0,0,11041,15025,31665,142462,48904,42652,0,0
พิจิตร,Phichit,16.25902273,100.3543182,0,0,0,0,675178,479288,161394,169397,171756,49475,0,0
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,0,0,0,0,695029,249150,163269,182286,61398,24807,0,0
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,0,0,0,571668,164073,11729,29267,9041,2497,0,0
แพร่,Phrae,18.15474026,100.0967013,0,0,0,0,0,78290,163811,55204,642,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,28,36,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,0,0,0,0,246666,78868,38055,12861,3009,1556,0,0
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,0,0,0,0,143,529,4514,8460,3260,1583,0,0
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,18,215,231,56,146,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,0,0,0,0,791,8373,29460,192480,3479,1668,0,0
ระยอง,Rayong,12.77290909,101.4139394,0,0,0,0,1860,1353,4142,1836,1494,208,0,0
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,0,0,0,0,1663989,1119604,237966,34577,3573,0,0,0
สระแก้ว,Sa kaeo,13.72012069,102.3403103,0,0,0,0,205661,321640,167858,14133,7210,0,0,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,0,0,0,0,679781,677115,638455,155474,0,0,0,0
