date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-01-01,Ratchaburi Rice Seed Center 1,14.152,100.084,1,1,2015,0,21.0,28.0,25.4,15.3,54.11,13.0,66.8,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-02,Ratchaburi Rice Seed Center 1,14.152,100.084,2,1,2015,0,20.0,26.6,23.3,13.5,54.46,11.2,123.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-03,Ratchaburi Rice Seed Center 1,14.152,100.084,3,1,2015,0,20.0,22.0,21.0,14.5,66.44,7.6,340.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-04,Ratchaburi Rice Seed Center 1,14.152,100.084,4,1,2015,0,21.0,31.0,27.2,17.0,54.66,9.4,194.88,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-05,Ratchaburi Rice Seed Center 1,14.152,100.084,5,1,2015,0,23.0,30.0,26.6,19.3,65.65,5.4,101.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-06,Ratchaburi Rice Seed Center 1,14.152,100.084,6,1,2015,0,24.0,33.6,30.5,20.6,57.35,14.8,177.78,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-07,Ratchaburi Rice Seed Center 1,14.152,100.084,7,1,2015,0,26.0,33.1,29.6,22.4,66.22,9.4,171.67,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-08,Ratchaburi Rice Seed Center 1,14.152,100.084,8,1,2015,0,25.0,25.0,25.0,23.0,88.68,11.2,55.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-09,Ratchaburi Rice Seed Center 1,14.152,100.084,9,1,2015,0,25.0,30.0,27.8,20.3,64.08,24.1,84.25,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-10,Ratchaburi Rice Seed Center 1,14.152,100.084,10,1,2015,0,26.0,29.0,27.2,21.2,70.28,16.6,51.75,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-11,Ratchaburi Rice Seed Center 1,14.152,100.084,11,1,2015,0,22.0,26.0,24.1,17.6,67.3,24.1,275.3,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-12,Ratchaburi Rice Seed Center 1,14.152,100.084,12,1,2015,0,21.0,24.0,22.9,16.6,68.02,20.5,184.67,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-13,Ratchaburi Rice Seed Center 1,14.152,100.084,13,1,2015,0,22.0,23.0,22.5,15.0,62.6,9.4,55.0,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-14,Ratchaburi Rice Seed Center 1,14.152,100.084,14,1,2015,0,21.0,28.0,25.0,12.1,45.1,16.6,159.86,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-15,Ratchaburi Rice Seed Center 1,14.152,100.084,15,1,2015,0,20.0,26.0,22.9,12.2,51.85,9.4,122.25,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-16,Ratchaburi Rice Seed Center 1,14.152,100.084,16,1,2015,0,21.0,30.0,26.8,12.8,43.24,16.6,78.44,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
2015-01-17,Ratchaburi Rice Seed Center 1,14.152,100.084,17,1,2015,0,20.0,26.7,23.8,13.6,53.35,13.0,47.17,0.0,0,0,0,0,0,0,0,0,0,15,0,0,0,32547,365,3549,2634,361,1531,6979,0
