date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-01-24,Phatthalung Rice research Center,7.567,100.131,24,1,2015,0,23.9,30.9,28.6,22.6,70.7,20.0,86.0,0.1,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-25,Phatthalung Rice research Center,7.567,100.131,25,1,2015,0,23.9,29.4,27.3,21.9,72.85,12.3,118.75,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-26,Phatthalung Rice research Center,7.567,100.131,26,1,2015,0,25.9,30.7,29.2,23.0,69.46,18.9,52.7,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-27,Phatthalung Rice research Center,7.567,100.131,27,1,2015,0,24.0,29.6,27.8,21.8,70.58,15.5,73.83,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-28,Phatthalung Rice research Center,7.567,100.131,28,1,2015,0,25.0,27.2,26.1,21.9,77.73,6.0,77.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-29,Phatthalung Rice research Center,7.567,100.131,29,1,2015,0,25.1,31.9,29.5,23.1,68.89,21.0,80.75,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-30,Phatthalung Rice research Center,7.567,100.131,30,1,2015,0,25.9,30.8,28.3,23.5,75.44,16.1,137.25,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-31,Phatthalung Rice research Center,7.567,100.131,31,1,2015,0,26.2,31.5,29.6,23.1,68.26,21.8,83.7,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-02-01,Phatthalung Rice research Center,7.567,100.131,1,2,2015,0,25.5,30.5,29.0,22.0,66.67,27.5,88.9,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-02,Phatthalung Rice research Center,7.567,100.131,2,2,2015,2,24.8,30.8,28.6,22.6,70.64,28.7,110.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-03,Phatthalung Rice research Center,7.567,100.131,3,2,2015,0,25.5,27.2,26.4,22.4,78.82,14.0,45.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-04,Phatthalung Rice research Center,7.567,100.131,4,2,2015,0,26.3,31.5,29.2,22.5,67.69,24.1,81.63,2.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-05,Phatthalung Rice research Center,7.567,100.131,5,2,2015,0,24.0,29.0,26.4,23.1,82.47,19.5,133.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-06,Phatthalung Rice research Center,7.567,100.131,6,2,2015,0,26.6,30.8,29.3,22.2,65.83,28.3,88.3,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-07,Phatthalung Rice research Center,7.567,100.131,7,2,2015,0,23.7,30.4,28.1,22.4,71.68,22.6,84.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-08,Phatthalung Rice research Center,7.567,100.131,8,2,2015,0,26.6,28.0,27.3,21.8,71.84,17.7,77.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-09,Phatthalung Rice research Center,7.567,100.131,9,2,2015,0,26.0,31.3,29.5,22.0,64.55,30.1,82.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-10,Phatthalung Rice research Center,7.567,100.131,10,2,2015,0,23.4,29.1,26.6,20.8,71.72,18.4,69.75,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-11,Phatthalung Rice research Center,7.567,100.131,11,2,2015,0,23.5,30.9,28.7,21.9,67.31,22.3,86.6,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-12,Phatthalung Rice research Center,7.567,100.131,12,2,2015,0,24.5,30.3,27.9,22.4,72.48,19.5,82.67,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-13,Phatthalung Rice research Center,7.567,100.131,13,2,2015,0,24.2,26.6,25.4,22.0,81.82,9.8,162.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-14,Phatthalung Rice research Center,7.567,100.131,14,2,2015,0,23.9,31.5,28.8,21.6,66.11,21.4,55.63,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-15,Phatthalung Rice research Center,7.567,100.131,15,2,2015,0,24.2,29.4,27.3,22.2,74.44,16.5,69.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-16,Phatthalung Rice research Center,7.567,100.131,16,2,2015,0,25.1,31.5,29.3,22.9,68.89,18.6,60.3,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-17,Phatthalung Rice research Center,7.567,100.131,17,2,2015,0,26.0,32.3,29.8,23.6,70.06,16.0,70.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-18,Phatthalung Rice research Center,7.567,100.131,18,2,2015,0,26.6,28.0,27.3,23.3,78.75,13.0,65.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-19,Phatthalung Rice research Center,7.567,100.131,19,2,2015,0,25.3,31.9,29.3,23.7,72.65,21.5,117.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-20,Phatthalung Rice research Center,7.567,100.131,20,2,2015,0,25.5,31.2,28.8,23.4,73.48,18.9,45.25,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-21,Phatthalung Rice research Center,7.567,100.131,21,2,2015,0,26.3,32.2,30.3,23.3,66.66,22.4,63.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-22,Phatthalung Rice research Center,7.567,100.131,22,2,2015,0,25.7,31.5,29.3,23.9,73.11,19.0,52.67,4.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-23,Phatthalung Rice research Center,7.567,100.131,23,2,2015,0,25.0,27.9,26.4,23.4,83.81,10.2,40.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-24,Phatthalung Rice research Center,7.567,100.131,24,2,2015,0,24.7,33.0,29.8,22.2,64.87,18.9,66.25,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-25,Phatthalung Rice research Center,7.567,100.131,25,2,2015,0,24.6,31.2,27.9,22.5,73.76,9.3,177.25,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-26,Phatthalung Rice research Center,7.567,100.131,26,2,2015,0,23.9,33.0,30.0,21.5,61.38,19.5,50.2,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-27,Phatthalung Rice research Center,7.567,100.131,27,2,2015,0,24.9,31.1,29.0,22.4,68.47,17.2,120.17,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-28,Phatthalung Rice research Center,7.567,100.131,28,2,2015,0,26.2,28.6,27.4,22.7,75.98,5.1,111.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-03-01,Phatthalung Rice research Center,7.567,100.131,1,3,2015,0,27.0,33.3,31.1,24.2,67.7,24.2,102.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-02,Phatthalung Rice research Center,7.567,100.131,2,3,2015,2,26.5,32.6,30.3,24.5,71.47,23.2,60.33,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-03,Phatthalung Rice research Center,7.567,100.131,3,3,2015,0,25.6,28.7,27.1,23.6,81.46,9.7,35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-04,Phatthalung Rice research Center,7.567,100.131,4,3,2015,0,25.9,34.3,31.1,22.8,62.66,15.1,149.38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-05,Phatthalung Rice research Center,7.567,100.131,5,3,2015,0,25.3,32.2,29.0,23.5,73.56,11.0,170.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-06,Phatthalung Rice research Center,7.567,100.131,6,3,2015,0,25.3,33.4,31.1,22.4,60.94,20.2,91.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-07,Phatthalung Rice research Center,7.567,100.131,7,3,2015,0,26.2,32.5,30.2,23.2,66.88,13.0,79.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-08,Phatthalung Rice research Center,7.567,100.131,8,3,2015,0,26.2,28.9,27.5,24.3,82.67,5.8,94.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-09,Phatthalung Rice research Center,7.567,100.131,9,3,2015,0,26.5,33.2,31.0,23.0,63.42,19.5,91.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-10,Phatthalung Rice research Center,7.567,100.131,10,3,2015,0,25.4,31.9,29.0,23.4,72.23,16.2,87.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-11,Phatthalung Rice research Center,7.567,100.131,11,3,2015,0,27.3,32.6,31.4,22.5,59.87,25.4,76.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-12,Phatthalung Rice research Center,7.567,100.131,12,3,2015,0,25.6,33.1,30.3,21.2,59.43,10.5,136.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-13,Phatthalung Rice research Center,7.567,100.131,13,3,2015,0,26.8,28.9,27.9,21.7,69.17,7.6,89.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-14,Phatthalung Rice research Center,7.567,100.131,14,3,2015,0,25.0,33.3,30.6,19.0,51.94,19.9,103.63,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-15,Phatthalung Rice research Center,7.567,100.131,15,3,2015,0,23.9,31.6,28.3,21.7,68.51,20.7,63.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-16,Phatthalung Rice research Center,7.567,100.131,16,3,2015,0,25.2,33.8,31.1,22.2,60.39,17.0,69.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-17,Phatthalung Rice research Center,7.567,100.131,17,3,2015,0,24.9,32.4,29.4,21.4,63.62,10.8,67.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-18,Phatthalung Rice research Center,7.567,100.131,18,3,2015,0,24.8,27.5,26.1,22.4,80.13,7.6,100.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-19,Phatthalung Rice research Center,7.567,100.131,19,3,2015,0,25.0,35.5,31.5,22.7,61.68,13.8,124.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-20,Phatthalung Rice research Center,7.567,100.131,20,3,2015,0,25.2,32.3,29.0,23.3,72.41,6.8,29.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-21,Phatthalung Rice research Center,7.567,100.131,21,3,2015,0,26.3,34.0,31.1,23.8,65.81,17.4,106.9,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-22,Phatthalung Rice research Center,7.567,100.131,22,3,2015,0,26.5,32.9,30.6,24.1,69.29,11.8,131.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
