spike_weight,r2_log1p,r2_raw,rmse_log1p,mae_log1p,rmse_raw,mae_raw,r2_spike_only,rmse_spike_only,n_spike_test,beat_baseline_log1p,beat_baseline_raw
2.000000,0.317136,0.001077,1.378393,0.826075,219.843570,26.712223,-0.970296,2.127496,1780,False,False
3.000000,0.344168,0.007930,1.350835,0.827806,219.088256,26.995157,-0.340527,1.754853,1780,False,True
5.000000,0.266373,-0.004290,1.428708,0.929182,220.433415,30.150581,-0.299173,1.727573,1780,False,False
8.000000,0.110435,-0.003596,1.573239,1.108894,220.357274,30.957695,-0.067059,1.565659,1780,False,False
