fold,recall_s1,precision_s1,f1_s1,auc_s1,best_threshold,r2_log1p_s2,rmse_log1p_s2,r2_raw_s2,rmse_raw_s2
2,0.743421052631579,0.2502768549280177,0.3744821872410936,0.8039112878801998,0.3,-0.1301182508468628,0.846671908473762,-0.0049631595611572266,1199.5054189123116
3,0.8990182328190743,0.332987012987013,0.48597422289613346,0.9154233167238465,0.3,-0.004166126251220703,0.738991733574478,0.024268805980682373,965.0104921709401
4,0.7791208791208791,0.4323170731707317,0.556078431372549,0.9231469715119004,0.5,-0.2231581211090088,0.6621504239211252,-0.00266873836517334,618.3081755888402
