station_id
Chai Nat Rice Seed Center 1
Chai Nat Rice Seed Center 2
Chai Nat Rice research Center
Khlong Luang Rice research Center
Lopburi Rice Seed Center
Lopburi Rice research Center
Nakhon Sawan Rice Seed Center
Pathum Thani Rice research Center
Phra Nakhon Si Ayutthaya Rice research Center
Prachinburi Rice research Center
Ratchaburi Rice Seed Center 1
