province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,2268,603,0,0,0,0,0,0,0,0,0,197
อ่างทอง,Ang Thong,14.61094444,100.3843056,71065,15149,7693,8938,0,0,0,0,0,0,48906,99307
กรุงเทพ,Bangkok,13.75785621,100.5558824,8332,8622,9046,1745,0,0,0,0,0,0,39494,26593
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3779,173,0,0,0,0,0,0,0,0,1039,6218
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,3112,0,0,0,0,0,0,0,0,0,10847,5779
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,19559,6866,15153,3145,0,0,0,0,0,0,205636,43027
ชัยนาท,Chai Nat,15.15194231,100.0815577,154578,21628,14865,45552,0,0,0,0,0,0,82305,202719
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,42107,1804,76,0,0,0,0,0,0,0,3312,26016
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,73477,36727,4717,1533,0,0,0,0,0,0,276,14910
เชียงราย,Chiang Rai,19.88303252,99.92217886,289461,110745,24638,2537,0,0,0,0,0,0,585,26221
ชลบุรี,Chon Buri,13.15463158,101.0628947,5187,2945,1521,1017,0,0,0,0,0,0,16765,11928
ชุมพร,Chumphon,10.3336087,99.18683478,464,485,0,0,0,0,0,0,0,0,0,49
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,209680,40986,2094,0,0,0,0,0,0,0,400,36705
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,184420,30097,8315,3546,0,0,0,0,0,0,79677,302987
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,5438,21168,149810,2445,0,0,0,0,0,0,770,1524
ขอนแก่น,Khon Kaen,16.35285,102.598805,18961,2686,72,0,0,0,0,0,0,0,79,3562
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,22060,5911,0,0,0,0,0,0,0,0,0,9474
ลำพูน,Lamphun,18.36132,98.96236,7076,4525,389,0,0,0,0,0,0,0,0,2855
เลย,Loei,17.41748315,101.6434157,30,0,0,0,0,0,0,0,0,0,0,357
ลพบุรี,Lop Buri,15.02860833,100.7969417,112572,37205,12584,6387,0,0,0,0,0,0,34124,98341
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,113,0,0,0,0,0,0,0,0,0,0,7
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,19319,2589,671,0,0,0,0,0,0,0,0,1740
มุกดาหาร,Mukdahan,16.53405769,104.5682885,211,22,0,0,0,0,0,0,0,0,0,190
นครนายก,Nakhon Nayok,14.18082927,101.1229756,24100,9050,2884,9112,0,0,0,0,0,0,76319,39089
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,44232,18021,33117,20597,0,0,0,0,0,0,55557,83094
นครพนม,Nakhon Phanom,17.31057447,104.4821915,12902,6064,0,0,0,0,0,0,0,0,3621,43884
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,42350,56509,17556,308,0,0,0,0,0,0,390,14341
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,163261,39063,35999,12333,0,0,0,0,0,0,245404,286907
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,0,1129,2679,4934,6622,0,0,0,0,0,0
น่าน,Nan,18.8794898,100.8094286,4949,421,0,0,0,0,0,0,0,0,0,1862
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,28,112,85,0,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,10573,721,486,0,0,0,0,0,0,0,42,3054
หนองคาย,Nong Khai,17.91401639,102.8044262,24890,512,0,0,0,0,0,0,0,0,3933,53408
นนทบุรี,Nonthaburi,13.88841176,100.4345882,13162,5646,5184,11435,0,0,0,0,0,0,24164,34092
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,36917,40698,30805,29334,0,0,0,0,0,0,44922,86050
ปัตตานี,Pattani,6.756087719,101.3607456,0,0,928,6776,9189,2212,0,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,0,1691,8865,8415,12886,0,0,0,0,0,0
พะเยา,Phayao,19.28419403,100.0843134,42793,14386,202,0,0,0,0,0,0,0,260,15657
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,5600,748,435,98,0,0,0,0,0,0,8725,6795
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,23287,48099,67065,4882,0,0,0,0,0,0,4348,5412
พิจิตร,Phichit,16.25902273,100.3543182,130040,32449,18428,18174,0,0,0,0,0,0,155214,353964
