province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,35695,0,0,39802,3586,47880,62822,28633,0,11358,41912,112750
ขอนแก่น,Khon Kaen,16.35285,102.598805,52637,1636788,26455,524930,0,20612,42667,13131,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,2047,0,0,0,0,4611,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,6857,293912,4297,30383,0,19683,42294,0,0,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,10181,60246,0,11323,0,5066,16818,0,0,0,593,0
เลย,Loei,17.41748315,101.6434157,53689,178032,992,6732,0,59255,38535,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,25636,0,0,203475,0,5236,191257,45274,0,0,80432,63563
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,49970,5886,0,33968,0,11808,50940,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,16085,973109,43381,1006011,0,25261,24750,7636,0,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,28815,328297,10756,88443,0,15236,14959,0,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,12366,0,0,20468,2800,105901,201987,0,0,0,17980,6355
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,2367,0,0,0,8649,0,275310,8453,0,0,12566,26866
นครพนม,Nakhon Phanom,17.31057447,104.4821915,86752,571013,85792,409184,0,34835,117167,0,0,0,887,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,225001,166746,51631,2632275,17776,135121,81503,118290,0,821,15510,26320
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,104534,4256,0,752966,5991,20346,571934,396853,0,2336,63101,223692
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,42648,0,0,5367,3024,42504,83013,0,0,0,111429,0
น่าน,Nan,18.8794898,100.8094286,20495,87570,0,6150,0,38408,55197,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,38566,0,0,0,0,7765,7556,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,27531,508272,18284,113983,0,19452,12845,0,0,0,0,0
หนองคาย,Nong Khai,17.91401639,102.8044262,9421,294808,22721,90750,0,28557,19443,0,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,0,0,0,0,0,83083,0,0,0,3080,3587
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,0,0,0,1345,0,287883,0,0,0,12536,0
ปัตตานี,Pattani,6.756087719,101.3607456,55593,0,0,0,0,17018,10362,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,340,0,0,255,0,439,0,0,0,0,324,0
พัทลุง,Phatthalung,7.54880303,100.0667121,63204,0,0,0,0,39622,17161,4128,0,0,7601,0
พะเยา,Phayao,19.28419403,100.0843134,15520,175362,126759,242329,0,16436,33118,0,0,0,1204,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,112637,52474,1830,217292,21898,27651,497985,52411,0,2865,12678,25637
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,5398,0,0,2576,15637,28158,144422,21075,0,0,3866,75146
พิจิตร,Phichit,16.25902273,100.3543182,82463,0,10237,302577,7610,67597,790412,88563,0,0,15789,203647
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,63857,55247,3586,226749,14625,32720,706512,120308,0,0,19405,103524
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,24963,0,0,2633,16269,22563,519003,18563,0,0,15376,69993
แพร่,Phrae,18.15474026,100.0967013,8814,114507,0,33596,0,10247,101845,0,0,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,16,0,0,0,0,53,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,20366,953,0,72563,13535,154274,108719,0,0,0,3905,12633
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,1024,0,0,1207,0,0,5610,7547,0,0,716,5246
ระนอง,Ranong,9.84295,98.57283333,649,0,0,0,0,451,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,8546,0,0,16306,0,21100,55207,15347,0,0,20376,146926
ระยอง,Rayong,12.77290909,101.4139394,438,0,0,4835,1246,0,6330,0,0,0,1866,2844
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,29223,786090,71385,2121462,701,14622,12299,0,0,0,0,0
สระแก้ว,Sa kaeo,13.72012069,102.3403103,13392,14898,0,563855,0,74144,67313,0,0,0,2563,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,61809,1382160,93945,347412,0,33467,83407,0,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,925,0,18582,0,0,0,1983,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,0,458,5925,0,0,0,1047,563
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,1893,0,0,0,0,1669
สระบุรี,Saraburi,14.55531481,100.8865463,10198,0,0,16735,0,9842,175195,7563,0,0,13692,69617
สตูล,Satun,6.695068182,99.72796591,22679,0,0,0,0,1417,0,0,0,0,916,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,62230,157279,113962,2588748,0,16548,17406,0,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,0,0,640,0,0,182524,0,0,0,62932,20376
สงขลา,Songkhla,7.117804348,100.5218768,75263,0,0,0,0,56064,37040,3744,0,0,28577,0
สุโขทัย,Sukhothai,17.1496,99.79715294,39619,15545,3204,77630,30632,0,661966,20467,0,1634,42763,44978
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,2114,0,0,64252,0,0,1072610,0,0,0,102363,67599
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,238,0,0,514,0,755,0,0,0,0,3788,0
สุรินทร์,Surin,14.93708228,103.669962,25749,7607,487562,2553975,0,6571,1267,0,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,75786,20062,1149,83699,1204,3209,15331,7522,0,0,0,0
ตรัง,Trang,7.479578947,99.55433333,11180,0,0,0,0,0,788,0,0,0,324,0
ตราด,Trat,12.10803774,102.4909057,1576,0,0,12500,0,806,1024,0,0,0,364,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,65989,1141839,302626,2158320,0,84044,47901,0,0,0,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,49475,1264225,63646,232393,0,50292,22050,0,0,0,0,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,9982,3613,0,25693,13622,0,246647,95424,0,0,26452,26966
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,8246,40362,0,65276,10867,2309,229364,2463,0,3676,112063,53694
ยะลา,Yala,6.389631579,101.2610877,20634,0,0,0,0,1722,2466,0,0,0,1547,0
ยโสธร,Yasothon,15.83362821,104.3002051,28450,575245,17263,651301,0,19077,7617,0,0,0,0,0
