province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,21805,391272,8112,519188,0,1616,4128,0,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,5246,0,0,6356,5246,5611,147546,9633,0,0,125634,5677
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,0,0,55889,0,0,0,16258,8635
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,4131,384264,6274,83864,0,8171,2903,0,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,115295,123902,68979,2372935,0,13295,29634,0,0,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,2866,2214,0,85706,37146,40806,368933,0,0,0,22566,63524
ชัยนาท,Chai Nat,15.15194231,100.0815577,9024,0,0,15274,4700,0,390021,0,0,0,190345,80463
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,122541,610047,34041,712500,0,59623,17040,0,0,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,5281,0,0,11983,0,657,784,245,0,0,874,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,89889,191052,2563,42304,0,9504,90363,0,0,0,4236,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,48817,742588,136098,157052,9023,38527,40619,1534,0,0,6204,4274
ชลบุรี,Chon Buri,13.15463158,101.0628947,1589,0,0,24177,1963,4330,24578,945,246,0,9717,1130
ชุมพร,Chumphon,10.3336087,99.18683478,2103,0,0,201,0,589,0,0,0,0,2181,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,25500,1045156,7415,329995,0,18605,11620,1035,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,15692,8546,0,86580,30596,0,856105,20347,0,0,54101,85246
