province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,3408,3210,0,12764,0,61660,0,6020,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,221778,0,4672,2529,0,0,32525,2036
สงขลา,Songkhla,7.117804348,100.5218768,0,39032,0,1139,1129,1561,0,1216,203
สุโขทัย,Sukhothai,17.1496,99.79715294,34,343603,18575,48634,139005,5576,0,2554,28157
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,784376,0,4374,21179,290,1505,87531,6781
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,915,69,677,183,80,0,1775,0
สุรินทร์,Surin,14.93708228,103.669962,2864,12855,431,13403,79,5865,0,4749,0
ตาก,Tak,16.84066102,98.83098305,0,3960,0,1409,2923,3372,0,79,871
ตรัง,Trang,7.479578947,99.55433333,0,41,0,19,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,0,770,0,768,0,207,0,628,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,31872,68544,659,31570,512,16983,57,503,286
อุดรธานี,Udon Thani,17.40975974,102.883539,29048,6037,0,8434,231,2025,0,103,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,138567,0,3384,7582,618,0,5485,289
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,370,138423,1935,22762,55228,953,480,67391,26473
ยะลา,Yala,6.389631579,101.2610877,0,245,0,0,0,95,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,2122,32229,440,3734,0,25593,0,149,435
