province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,103,186,0,471,0,438,0,0,140
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,15041,61,627,746,0,0,6352,616
กรุงเทพ,Bangkok,13.75785621,100.5558824,0,53573,675,6230,4539,0,0,17066,1896
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3463,3695,0,1732,0,279,0,412,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,68,598,32,554,0,4499,0,655,36
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,259737,11834,21688,24179,1404,130,24926,10350
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,93750,287,923,740,1805,0,43309,6942
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,2940,1932,780,3253,1177,3580,0,3386,4867
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,1537,3773,178,59508,688,0,0,469,277
เชียงราย,Chiang Rai,19.88303252,99.92217886,13474,25417,737,101479,74981,739,2501,14935,55245
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,16857,3820,7066,3707,3971,0,3081,2236
ชุมพร,Chumphon,10.3336087,99.18683478,0,0,0,262,0,38,0,250,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,63945,23687,167,36162,55211,58905,0,330,169
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,140938,2066,36529,31935,6006,174,6337,27085
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,1680,273,471,0,326,0,1919,7161
ขอนแก่น,Khon Kaen,16.35285,102.598805,4714,256,64,1331,1475,1893,19,392,307
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,851,960,0,1975,0,0,0,282,151
ลำพูน,Lamphun,18.36132,98.96236,208,1291,0,5941,0,0,0,708,0
เลย,Loei,17.41748315,101.6434157,58,22,0,0,0,0,0,5,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,10067,68,779,0,1870,0,4188,1927
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,0,0,57,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,569,532,0,420,2124,4560,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,161,0,0,57,0,0,0,43,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,60402,1099,20733,2154,874,0,3962,1213
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,126258,1115,29013,14494,988,83,5771,21481
นครพนม,Nakhon Phanom,17.31057447,104.4821915,15889,3454,0,24710,0,6352,0,251,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,32,10145,6046,2980,1158,21507,272,1780,4467
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,145082,4206,20747,13535,7074,110,6588,8633
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,62985,1209,2153,3839,4974,0,26542,1564
น่าน,Nan,18.8794898,100.8094286,146,81,0,4002,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,37,0,120,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,2238,774,0,552,0,2063,0,330,0
หนองคาย,Nong Khai,17.91401639,102.8044262,39396,6305,195,19172,0,1477,0,853,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,73377,0,1803,894,0,0,2063,746
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,83333,0,21444,2662,1707,0,4834,13456
ปัตตานี,Pattani,6.756087719,101.3607456,0,11342,0,0,0,9161,519,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,17692,278,9061,2647,6820,0,5937,610
พะเยา,Phayao,19.28419403,100.0843134,3141,1478,807,14455,6054,0,150,0,330
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,1723,5708,298,1805,2857,1415,98,294,5622
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,2145,0,635,731,2177,0,83,1791
พิจิตร,Phichit,16.25902273,100.3543182,0,211076,5161,47003,29977,11493,0,1790,22562
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,326,159513,1683,94099,40041,7194,329,2316,25348
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,263851,1343,45218,45308,1115,0,20222,14283
แพร่,Phrae,18.15474026,100.0967013,3140,9681,0,7083,0,0,0,105,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,0,64679,2151,19701,1691,2422,0,2269,42093
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,0,304,0,194,0,771,0,603,318
