province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,0,0,0,0,367908,972151,650459,102417,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,1566,9781,3814,2763,529,315,0,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,215,1170,1449,2424,429,361,0,0
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,212,1911,516,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,0,0,0,0,15810,29633,160467,80541,30148,10997,0,0
สตูล,Satun,6.695068182,99.72796591,0,0,0,0,0,0,1203,4811,9217,6332,0,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,0,0,0,0,1684179,1057222,213861,21358,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,0,0,0,36719,62206,41596,103741,35529,7861,0,0
สงขลา,Songkhla,7.117804348,100.5218768,31561,6810,0,0,0,877,365,5934,20853,54162,37084,32596
สุโขทัย,Sukhothai,17.1496,99.79715294,0,0,0,0,82892,198425,358886,185715,115582,19384,0,0
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,0,0,0,186055,251645,391653,265938,78597,29044,0,0
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,0,0,0,0,2796,1367,425,767,480,0,0
สุรินทร์,Surin,14.93708228,103.669962,0,0,0,0,1585111,1157410,318919,9414,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,0,0,0,0,9461,46034,104828,55630,3987,0,0,0
ตรัง,Trang,7.479578947,99.55433333,0,0,0,0,0,0,139,3788,6797,1339,0,0
ตราด,Trat,12.10803774,102.4909057,0,0,0,0,2855,8007,4569,743,0,0,0,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,0,0,0,0,2320867,811624,592042,128190,9753,0,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,0,0,0,0,370432,519405,677545,172756,0,0,0,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,0,0,0,28679,193281,101347,90691,48804,13116,0,0
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,0,0,0,0,19719,74910,230459,198775,21122,0,0,0
ยะลา,Yala,6.389631579,101.2610877,9310,0,0,0,0,0,0,0,0,0,5886,3442
ยโสธร,Yasothon,15.83362821,104.3002051,0,0,0,0,541477,324961,369711,61404,0,0,0,0
