model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w60_h7/cnn_lstm_core,sequences_window60_h7.npz,core,60,7,14,0.9711052179336548,1.5148256691320385,0.20218753814697266,1.6732736825942993,29.910608291625977,235.34701772064162,-0.005517125129699707,1.8142870664596558
Transformer,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w60_h7/transformer_core,sequences_window60_h7.npz,core,60,7,14,0.9819344282150269,1.5233497789999109,0.19318348169326782,1.677593469619751,30.13602066040039,235.63444112385184,-0.007974743843078613,1.8273361921310425
LSTM,/home/natthawut/My_projects/SUT_Rice_Project_2024/out_train_w60_h7/lstm_core,sequences_window60_h7.npz,core,60,7,14,1.0146883726119995,1.5769208336397287,0.13543963432312012,1.7196818590164185,30.178544998168945,236.22951300059864,-0.01307225227355957,1.8572362661361694
