province_th,province_en,lat,lon,month,area_rai,year,crop_season,month_num,date
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,0,2015,in_season,1,2015-01-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Feb,0,2015,in_season,2,2015-02-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Mar,0,2015,in_season,3,2015-03-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Apr,0,2015,in_season,4,2015-04-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,May,189697,2015,in_season,5,2015-05-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jun,378165,2015,in_season,6,2015-06-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jul,258007,2015,in_season,7,2015-07-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Aug,115332,2015,in_season,8,2015-08-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Sep,4920,2015,in_season,9,2015-09-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Oct,0,2015,in_season,10,2015-10-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Nov,0,2015,in_season,11,2015-11-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Dec,0,2015,in_season,12,2015-12-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,0,2016,in_season,1,2016-01-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Feb,0,2016,in_season,2,2016-02-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Mar,0,2016,in_season,3,2016-03-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Apr,0,2016,in_season,4,2016-04-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,May,374010,2016,in_season,5,2016-05-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jun,318597,2016,in_season,6,2016-06-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jul,177701,2016,in_season,7,2016-07-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Aug,68568,2016,in_season,8,2016-08-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Sep,0,2016,in_season,9,2016-09-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Oct,0,2016,in_season,10,2016-10-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Nov,0,2016,in_season,11,2016-11-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Dec,0,2016,in_season,12,2016-12-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,0,2017,in_season,1,2017-01-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Feb,0,2017,in_season,2,2017-02-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Mar,0,2017,in_season,3,2017-03-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Apr,0,2017,in_season,4,2017-04-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,May,386862,2017,in_season,5,2017-05-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jun,366796,2017,in_season,6,2017-06-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jul,192727,2017,in_season,7,2017-07-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Aug,24702,2017,in_season,8,2017-08-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Sep,0,2017,in_season,9,2017-09-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Oct,0,2017,in_season,10,2017-10-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Nov,0,2017,in_season,11,2017-11-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Dec,0,2017,in_season,12,2017-12-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,0,2018,in_season,1,2018-01-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Feb,0,2018,in_season,2,2018-02-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Mar,0,2018,in_season,3,2018-03-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Apr,0,2018,in_season,4,2018-04-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,May,415510,2018,in_season,5,2018-05-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jun,375454,2018,in_season,6,2018-06-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jul,164425,2018,in_season,7,2018-07-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Aug,29007,2018,in_season,8,2018-08-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Sep,0,2018,in_season,9,2018-09-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Oct,0,2018,in_season,10,2018-10-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Nov,0,2018,in_season,11,2018-11-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Dec,0,2018,in_season,12,2018-12-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,0,2019,in_season,1,2019-01-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Feb,0,2019,in_season,2,2019-02-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Mar,0,2019,in_season,3,2019-03-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Apr,0,2019,in_season,4,2019-04-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,May,415510,2019,in_season,5,2019-05-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jun,375454,2019,in_season,6,2019-06-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jul,164425,2019,in_season,7,2019-07-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Aug,29007,2019,in_season,8,2019-08-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Sep,0,2019,in_season,9,2019-09-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Oct,0,2019,in_season,10,2019-10-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Nov,0,2019,in_season,11,2019-11-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Dec,0,2019,in_season,12,2019-12-01
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,Jan,1496,2015,off_season,1,2015-01-01
