province_th,province_en,lat,lon,variety_raw,area_rai,year,crop_season,variety_norm,source_file
นราธิวาส,Narathiwat,6.234092105,101.7531711,พันธุ์พื้นเมือง,38566,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,พันธุ์พื้นเมือง,27531,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
หนองคาย,Nong Khai,17.91401639,102.8044262,พันธุ์พื้นเมือง,9421,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นนทบุรี,Nonthaburi,13.88841176,100.4345882,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปัตตานี,Pattani,6.756087719,101.3607456,พันธุ์พื้นเมือง,55593,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พังงา,Phang-nga,8.655536232,98.27214493,พันธุ์พื้นเมือง,340,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พัทลุง,Phatthalung,7.54880303,100.0667121,พันธุ์พื้นเมือง,63204,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พะเยา,Phayao,19.28419403,100.0843134,พันธุ์พื้นเมือง,15520,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,พันธุ์พื้นเมือง,112637,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,พันธุ์พื้นเมือง,5398,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พิจิตร,Phichit,16.25902273,100.3543182,พันธุ์พื้นเมือง,82463,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,พันธุ์พื้นเมือง,63857,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,พันธุ์พื้นเมือง,24963,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
แพร่,Phrae,18.15474026,100.0967013,พันธุ์พื้นเมือง,8814,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ภูเก็ต,Phuket,7.887342105,98.36747368,พันธุ์พื้นเมือง,16,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,พันธุ์พื้นเมือง,20366,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,พันธุ์พื้นเมือง,1024,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ระนอง,Ranong,9.84295,98.57283333,พันธุ์พื้นเมือง,649,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ราชบุรี,Ratchaburi,13.60378641,99.80105825,พันธุ์พื้นเมือง,8546,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ระยอง,Rayong,12.77290909,101.4139394,พันธุ์พื้นเมือง,438,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,พันธุ์พื้นเมือง,29223,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สระแก้ว,Sa kaeo,13.72012069,102.3403103,พันธุ์พื้นเมือง,13392,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,พันธุ์พื้นเมือง,61809,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สระบุรี,Saraburi,14.55531481,100.8865463,พันธุ์พื้นเมือง,10198,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สตูล,Satun,6.695068182,99.72796591,พันธุ์พื้นเมือง,22679,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,พันธุ์พื้นเมือง,62230,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สงขลา,Songkhla,7.117804348,100.5218768,พันธุ์พื้นเมือง,75263,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุโขทัย,Sukhothai,17.1496,99.79715294,พันธุ์พื้นเมือง,39619,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,พันธุ์พื้นเมือง,2114,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,พันธุ์พื้นเมือง,238,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุรินทร์,Surin,14.93708228,103.669962,พันธุ์พื้นเมือง,25749,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตาก,Tak,16.84066102,98.83098305,พันธุ์พื้นเมือง,75786,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตรัง,Trang,7.479578947,99.55433333,พันธุ์พื้นเมือง,11180,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตราด,Trat,12.10803774,102.4909057,พันธุ์พื้นเมือง,1576,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,พันธุ์พื้นเมือง,65989,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุดรธานี,Udon Thani,17.40975974,102.883539,พันธุ์พื้นเมือง,49475,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,พันธุ์พื้นเมือง,9982,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,พันธุ์พื้นเมือง,8246,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ยะลา,Yala,6.389631579,101.2610877,พันธุ์พื้นเมือง,20634,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ยโสธร,Yasothon,15.83362821,104.3002051,พันธุ์พื้นเมือง,28450,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,กข-6,391272,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อ่างทอง,Ang Thong,14.61094444,100.3843056,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,กข-6,384264,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,กข-6,123902,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,กข-6,2214,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชัยนาท,Chai Nat,15.15194231,100.0815577,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,กข-6,610047,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
จันทบุรี,Chanthaburi,12.67759036,102.1161687,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,กข-6,191052,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เชียงราย,Chiang Rai,19.88303252,99.92217886,กข-6,742588,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชลบุรี,Chon Buri,13.15463158,101.0628947,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชุมพร,Chumphon,10.3336087,99.18683478,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,กข-6,1045156,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,กข-6,8546,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ขอนแก่น,Khon Kaen,16.35285,102.598805,กข-6,1636788,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กระบี่,Krabi,8.009243243,98.93368468,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ลำปาง,Lampang,18.34986458,99.50325,กข-6,293912,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ลำพูน,Lamphun,18.36132,98.96236,กข-6,60246,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เลย,Loei,17.41748315,101.6434157,กข-6,178032,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ลพบุรี,Lop Buri,15.02860833,100.7969417,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,กข-6,5886,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,กข-6,973109,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
มุกดาหาร,Mukdahan,16.53405769,104.5682885,กข-6,328297,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครนายก,Nakhon Nayok,14.18082927,101.1229756,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครพนม,Nakhon Phanom,17.31057447,104.4821915,กข-6,571013,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,กข-6,166746,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,กข-6,4256,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
น่าน,Nan,18.8794898,100.8094286,กข-6,87570,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นราธิวาส,Narathiwat,6.234092105,101.7531711,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,กข-6,508272,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
หนองคาย,Nong Khai,17.91401639,102.8044262,กข-6,294808,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
นนทบุรี,Nonthaburi,13.88841176,100.4345882,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปัตตานี,Pattani,6.756087719,101.3607456,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พังงา,Phang-nga,8.655536232,98.27214493,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พัทลุง,Phatthalung,7.54880303,100.0667121,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พะเยา,Phayao,19.28419403,100.0843134,กข-6,175362,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,กข-6,52474,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พิจิตร,Phichit,16.25902273,100.3543182,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,กข-6,55247,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
แพร่,Phrae,18.15474026,100.0967013,กข-6,114507,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ภูเก็ต,Phuket,7.887342105,98.36747368,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,กข-6,953,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ระนอง,Ranong,9.84295,98.57283333,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ราชบุรี,Ratchaburi,13.60378641,99.80105825,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ระยอง,Rayong,12.77290909,101.4139394,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,กข-6,786090,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สระแก้ว,Sa kaeo,13.72012069,102.3403103,กข-6,14898,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,กข-6,1382160,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สระบุรี,Saraburi,14.55531481,100.8865463,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สตูล,Satun,6.695068182,99.72796591,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,กข-6,157279,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สงขลา,Songkhla,7.117804348,100.5218768,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุโขทัย,Sukhothai,17.1496,99.79715294,กข-6,15545,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
สุรินทร์,Surin,14.93708228,103.669962,กข-6,7607,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตาก,Tak,16.84066102,98.83098305,กข-6,20062,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตรัง,Trang,7.479578947,99.55433333,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ตราด,Trat,12.10803774,102.4909057,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,กข-6,1141839,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุดรธานี,Udon Thani,17.40975974,102.883539,กข-6,1264225,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,กข-6,3613,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,กข-6,40362,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ยะลา,Yala,6.389631579,101.2610877,กข-6,0,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ยโสธร,Yasothon,15.83362821,104.3002051,กข-6,575245,2015,in_season,กข-6,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,กข-15,8112,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อ่างทอง,Ang Thong,14.61094444,100.3843056,กข-15,0,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,กข-15,0,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,กข-15,6274,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,กข-15,68979,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,กข-15,0,2015,in_season,กข-15,Varieties-production volume of rice in-season Rai(unit) 2015.csv
