province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
ระยอง,Rayong,12.77290909,101.4139394,623,0,0,2457,910,246,4837,429,0,0,518,873
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,8305,730125,19430,2278677,0,3975,10227,8970,0,0,0,0
สระแก้ว,Sa kaeo,13.72012069,102.3403103,7833,12711,0,623337,0,42991,25479,0,0,0,4151,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,17525,1515656,113422,451990,0,13282,38950,0,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,65,699,891,13166,0,0,0,3680,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,0,585,3751,0,0,0,147,158
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,1563,115,0,0,39,493
สระบุรี,Saraburi,14.55531481,100.8865463,3118,0,0,8086,326,8011,217097,3060,0,0,25781,60680
สตูล,Satun,6.695068182,99.72796591,13570,0,0,0,0,0,4221,0,0,0,1183,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,23807,127883,86248,2700974,0,55458,4040,8296,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,1446,0,0,1456,0,90,237255,0,0,0,82158,10964
สงขลา,Songkhla,7.117804348,100.5218768,53022,0,676,1962,57,20749,84085,8131,0,0,33260,0
สุโขทัย,Sukhothai,17.1496,99.79715294,20831,13368,847,83645,11422,4199,848433,14857,0,654,25590,28209
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,1398,0,0,56766,93,278,981949,142,0,0,141903,16123
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,519,0,0,525,0,1525,1194,0,0,0,4499,0
สุรินทร์,Surin,14.93708228,103.669962,11584,4527,732131,2291825,0,1017,1160,0,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,111659,19238,228,110008,217,11326,46233,9038,0,151,10332,2517
ตรัง,Trang,7.479578947,99.55433333,6371,0,0,0,0,0,1654,0,0,0,110,0
ตราด,Trat,12.10803774,102.4909057,599,0,0,10192,0,598,1328,68,0,0,1730,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,45955,893750,550776,2247880,0,167177,18441,0,0,617,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,17158,1309943,79076,319514,0,23665,10064,0,0,0,140,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,4379,1084,0,15850,0,7919,414490,24756,0,607,39395,6435
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,9286,34517,0,49867,4024,12162,258736,1194,0,1326,160331,50931
ยะลา,Yala,6.389631579,101.2610877,23071,0,0,0,0,913,1278,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,10323,393718,50464,849189,0,17091,8469,2814,0,0,0,0
