province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,176810,0,2804,1304,0,0,71797,837
สงขลา,Songkhla,7.117804348,100.5218768,0,43912,0,749,427,821,0,873,550
สุโขทัย,Sukhothai,17.1496,99.79715294,0,264456,13519,38467,108184,1910,0,2772,13977
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,690218,0,21715,10941,90,251,104533,4605
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,1699,0,623,113,25,0,1402,0
สุรินทร์,Surin,14.93708228,103.669962,2754,18156,339,18620,96,5853,0,4507,0
ตาก,Tak,16.84066102,98.83098305,0,4983,0,1299,4296,3731,0,1080,614
ตรัง,Trang,7.479578947,99.55433333,0,99,0,48,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,0,936,0,586,0,202,0,839,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,30357,78824,0,34252,359,9961,120,368,186
อุดรธานี,Udon Thani,17.40975974,102.883539,23982,8933,0,9090,414,1533,0,85,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,78130,0,2088,3369,275,0,6941,119
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,473,111234,759,23417,37178,1360,65,98142,18730
ยะลา,Yala,6.389631579,101.2610877,0,152,0,0,0,28,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,2070,36211,408,4359,0,26423,0,169,481
