date,station_id,bph_raw,bph_log1p,month_sin,month_cos,doy_sin,doy_cos,temp,humidity,rainfall,wind_u,wind_v,delta_temp,temp_14d_mean,humidity_14d_mean,rain_14d_sum,temp_range,split
2015-01-01,Chachoengsao Rice research Center,1,0.6931471805599453,0.75,0.9330127239227295,0.5086067318916321,0.9999258518218994,0.6457286477088928,0.4910999834537506,0.0,0.8077501058578491,0.49877527356147766,0.5051394701004028,0.46149033308029175,0.2599971890449524,0.0,0.3272727429866791,train
2015-01-02,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.5172109603881836,0.9997036457061768,0.5954774022102356,0.49779996275901794,0.0,0.7101433873176575,0.4865438938140869,0.47577089071273804,0.41765815019607544,0.26551324129104614,0.0,0.2909091114997864,train
2015-01-03,Chachoengsao Rice research Center,1,0.6931471805599453,0.75,0.9330127239227295,0.5258100628852844,0.999333381652832,0.5452261567115784,0.6349999904632568,0.0,0.8124280571937561,0.4534040689468384,0.47577089071273804,0.37382596731185913,0.3426561951637268,0.0,0.06818182021379471,train
2015-01-04,Chachoengsao Rice research Center,1,0.6931471805599453,0.75,0.9330127239227295,0.534401535987854,0.9988150596618652,0.6959799528121948,0.5043999552726746,0.0,0.7105799317359924,0.44902071356773376,0.5932452082633972,0.41765815019607544,0.32746636867523193,0.0,0.4318181872367859,train
2015-01-05,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.542982816696167,0.998149037361145,0.6658291220664978,0.6683999300003052,0.0,0.7985528707504272,0.4546416997909546,0.487518310546875,0.43343764543533325,0.3723607063293457,0.0,0.29545456171035767,train
2015-01-06,Chachoengsao Rice research Center,1,0.6931471805599453,0.75,0.9330127239227295,0.551551342010498,0.9973353147506714,0.766331672668457,0.5577999949455261,0.0,0.6965577006340027,0.4610390067100525,0.5638766288757324,0.4731789231300354,0.3719381093978882,0.0,0.418181836605072,train
2015-01-07,Chachoengsao Rice research Center,34,3.5553480614894135,0.75,0.9330127239227295,0.5601046085357666,0.996374249458313,0.7512562870979309,0.6482999920845032,0.0,0.7257856130599976,0.46545207500457764,0.4963288903236389,0.49780839681625366,0.39292436838150024,0.0,0.2863636612892151,train
2015-01-08,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.5686399936676025,0.9952660799026489,0.6457286477088928,0.8358999490737915,0.0,0.7939488887786865,0.4744354784488678,0.4434654712677002,0.49326854944229126,0.44727665185928345,0.0,0.022727273404598236,train
2015-01-09,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.5771551132202148,0.9940111637115479,0.7160804271697998,0.5729999542236328,0.0,0.7691628336906433,0.5243720412254333,0.5462554693222046,0.5033743977546692,0.4414518475532532,0.0,0.27272728085517883,train
2015-01-10,Chachoengsao Rice research Center,1,0.6931471805599453,0.75,0.9330127239227295,0.5856473445892334,0.9926098585128784,0.693467378616333,0.6687000393867493,0.0,0.7906589508056641,0.4956803619861603,0.49192360043525696,0.5075140595436096,0.4525498151779175,0.0,0.13636364042758942,train
2015-01-11,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.5941142439842224,0.991062581539154,0.643216073513031,0.5997999906539917,0.0,0.7790765166282654,0.3548246920108795,0.47577089071273804,0.5029316544532776,0.4513164162635803,0.0,0.20454546809196472,train
2015-01-12,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.6025531888008118,0.989369809627533,0.5954774022102356,0.619700014591217,0.0,0.6804302930831909,0.4253465533256531,0.47723931074142456,0.4921727776527405,0.4530191421508789,0.0,0.1818181872367859,train
2015-01-13,Chachoengsao Rice research Center,0,0.0,0.75,0.9330127239227295,0.6109617948532104,0.9875320196151733,0.570351779460907,0.5875999927520752,0.0,0.8010056614875793,0.47879987955093384,0.49045518040657043,0.4796975255012512,0.4503940939903259,0.0,0.022727273404598236,train
