threshold,n_spike_predicted,pct_spike,precision,recall,f1,mae_log1p,rmse_log1p,r2_log1p,mae_raw,rmse_raw,r2_raw,beat_r2_log1p,beat_r2_raw,beat_rmse_raw
0.300000,3785,46.578883,0.416909,0.886517,0.567116,0.797368,1.439804,0.254934,26.514759,219.430593,0.004827,False,True,True
0.350000,3531,43.453113,0.437270,0.867416,0.581435,0.767786,1.420331,0.274951,26.288172,219.386672,0.005225,False,True,True
0.400000,3309,40.721142,0.454216,0.844382,0.590686,0.745371,1.408938,0.286536,26.093599,219.352803,0.005532,False,True,True
0.450000,3070,37.779966,0.479153,0.826404,0.606598,0.720527,1.391952,0.303636,25.829695,219.297654,0.006032,False,True,True
0.500000,2872,35.343342,0.498259,0.803933,0.615219,0.701370,1.384658,0.310915,25.647078,219.267584,0.006305,False,True,True
