model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w90_h14_context/cnn_lstm_core,sequences_window90_h14.npz,context,90,14,18,0.7521316409111023,1.3161992665916988,0.4298999309539795,1.5910907983779907,29.200531005859375,256.51104081988365,0.007917165756225586,1.7150816917419434
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w90_h14_context/lstm_core,sequences_window90_h14.npz,context,90,14,18,0.8525109887123108,1.4772035529206782,0.28189414739608765,1.5977932214736938,29.9437255859375,256.3916376853972,0.008840560913085938,1.7137850522994995
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w90_h14_context/transformer_core,sequences_window90_h14.npz,context,90,14,18,0.9621163010597229,1.6487458288734316,0.10542809963226318,1.6239242553710938,47.65927505493164,278.5709486603009,-0.17005813121795654,1.756445050239563
