model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_dyn_w60_h1_context/cnn_lstm_core,sequences_window60_h1.npz,context,60,1,18,0.6677477955818176,1.2491507029176057,0.45378416776657104,1.6177420616149902,25.559165954589844,230.88387401732933,0.005431950092315674,1.7307519912719727
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_dyn_w60_h1_context/lstm_core,sequences_window60_h1.npz,context,60,1,18,0.7323561906814575,1.3392005911523843,0.3721933960914612,1.628251075744629,27.062910079956055,230.75158280876428,0.006571352481842041,1.7533705234527588
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_dyn_w60_h1_context/transformer_core,sequences_window60_h1.npz,context,60,1,18,0.7743873000144958,1.4357354487911083,0.27842170000076294,1.6610233783721924,28.033571243286133,231.5023707357011,9.632110595703125e-05,1.766065001487732
