date,station_id,bph_raw,bph_log1p,month_sin,month_cos,doy_sin,doy_cos,temp,humidity,rainfall,wind_u,wind_v,delta_temp,temp_7d_mean,humidity_7d_mean,rain_7d_sum,temp_range,split
2015-01-01,Chachoengsao Rice research Center,1,0.6931471805599453,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,25.7,49.11,0.0,7.671824989140424,16.83428351121605,0.0,25.7,49.11,0.0,7.199999999999999,train
2015-01-02,Chachoengsao Rice research Center,0,0.0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,23.7,49.78,0.0,-10.010694398428,13.366974140069333,-2.0,24.7,49.445,0.0,6.399999999999999,train
2015-01-03,Chachoengsao Rice research Center,1,0.6931471805599453,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,21.7,63.5,0.0,8.51929319814451,3.972611660362575,-2.0,23.7,54.129999999999995,0.0,1.5,train
2015-01-04,Chachoengsao Rice research Center,1,0.6931471805599453,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,27.7,50.44,0.0,-9.931613464375024,2.730028203928439,6.0,24.7,53.207499999999996,0.0,9.5,train
2015-01-05,Chachoengsao Rice research Center,0,0.0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,26.5,66.84,0.0,6.005647466541091,4.323447525717015,-1.1999999999999993,25.06,55.934000000000005,0.0,6.5,train
2015-01-06,Chachoengsao Rice research Center,1,0.6931471805599453,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,30.5,55.78,0.0,-12.471891338473167,6.136931353805254,4.0,25.96666666666667,55.90833333333333,0.0,9.200000000000003,train
2015-01-07,Chachoengsao Rice research Center,34,3.5553480614894135,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,29.9,64.83,0.0,-7.1769332280313725,7.387938104801583,-0.6000000000000014,26.52857142857143,57.18285714285714,0.0,6.299999999999997,train
2015-01-08,Chachoengsao Rice research Center,0,0.0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,25.7,83.59,0.0,5.171584468232379,9.934521331596082,-4.199999999999999,26.528571428571432,62.10857142857143,0.0,0.5,train
2015-01-09,Chachoengsao Rice research Center,0,0.0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,28.5,57.3,0.0,0.6813206591635873,24.090367414371183,2.8000000000000007,27.214285714285715,63.182857142857145,0.0,6.0,train
2015-01-10,Chachoengsao Rice research Center,1,0.6931471805599453,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,27.6,66.87,0.0,4.575580106562186,15.956944152576096,-0.8999999999999986,28.057142857142857,63.66428571428572,0.0,3.0,train
